X[mm]	Y[mm]	Z[mm]	Bx[T]	By[T]	Bz[T]
----------------------------------------------------------------------------------------------------------------------------------------------------------------
-6	-4	-1800	-5.66597e-10	4.79183e-07	-2.59239e-08
0	-4	-1800	-4.93355e-15	4.79608e-07	-2.59521e-08
6	-4	-1800	5.66602e-10	4.79183e-07	-2.59239e-08
-6	0	-1800	-2.77218e-15	4.79761e-07	-2.39392e-15
0	0	-1800	-1.27803e-15	4.80187e-07	-7.58893e-15
6	0	-1800	4.68922e-15	4.79761e-07	-5.45325e-15
-6	4	-1800	5.66598e-10	4.79183e-07	2.59239e-08
0	4	-1800	5.45035e-16	4.79608e-07	2.59521e-08
6	4	-1800	-5.66601e-10	4.79183e-07	2.59239e-08
-6	-4	-1797	-5.95666e-10	4.99045e-07	-2.71031e-08
0	-4	-1797	-1.85125e-15	4.99491e-07	-2.7133e-08
6	-4	-1797	5.95662e-10	4.99045e-07	-2.71031e-08
-6	0	-1797	4.14418e-15	4.99653e-07	-5.31738e-15
0	0	-1797	1.46597e-15	5.001e-07	-1.22243e-15
6	0	-1797	1.96402e-15	4.99653e-07	-9.34344e-16
-6	4	-1797	5.95664e-10	4.99045e-07	2.71031e-08
0	4	-1797	-1.07129e-15	4.99491e-07	2.7133e-08
6	4	-1797	-5.95665e-10	4.99045e-07	2.71031e-08
-6	-4	-1794	-6.26417e-10	5.19812e-07	-2.83431e-08
0	-4	-1794	-4.19117e-15	5.20282e-07	-2.83748e-08
6	-4	-1794	6.26411e-10	5.19812e-07	-2.83432e-08
-6	0	-1794	6.08002e-15	5.20452e-07	-4.48142e-16
0	0	-1794	8.36359e-16	5.20922e-07	5.91405e-16
6	0	-1794	-4.69879e-17	5.20452e-07	2.74604e-16
-6	4	-1794	6.26419e-10	5.19812e-07	2.83431e-08
0	4	-1794	5.88267e-15	5.20282e-07	2.83748e-08
6	4	-1794	-6.26413e-10	5.19812e-07	2.83431e-08
-6	-4	-1791	-6.58957e-10	5.41532e-07	-2.96476e-08
0	-4	-1791	-3.22325e-15	5.42026e-07	-2.96811e-08
6	-4	-1791	6.58955e-10	5.41532e-07	-2.96476e-08
-6	0	-1791	4.59525e-15	5.42205e-07	-3.36514e-15
0	0	-1791	5.23426e-15	5.427e-07	-3.66837e-15
6	0	-1791	6.01423e-16	5.42205e-07	-7.92167e-16
-6	4	-1791	6.58956e-10	5.41532e-07	2.96476e-08
0	4	-1791	2.65002e-15	5.42026e-07	2.96811e-08
6	4	-1791	-6.58958e-10	5.41532e-07	2.96476e-08
-6	-4	-1788	-6.93413e-10	5.64255e-07	-3.10203e-08
0	-4	-1788	7.93127e-15	5.64774e-07	-3.10558e-08
6	-4	-1788	6.93407e-10	5.64255e-07	-3.10203e-08
-6	0	-1788	-8.26957e-16	5.64963e-07	2.69277e-16
0	0	-1788	3.00709e-16	5.65483e-07	-9.4776e-16
6	0	-1788	9.49122e-16	5.64963e-07	-5.80491e-16
-6	4	-1788	6.93411e-10	5.64255e-07	3.10203e-08
0	4	-1788	-1.24984e-15	5.64774e-07	3.10558e-08
6	4	-1788	-6.93422e-10	5.64255e-07	3.10203e-08
-6	-4	-1785	-7.29916e-10	5.88032e-07	-3.24653e-08
0	-4	-1785	-2.81918e-16	5.88579e-07	-3.25029e-08
6	-4	-1785	7.29921e-10	5.88032e-07	-3.24653e-08
-6	0	-1785	-4.57645e-15	5.88778e-07	3.45204e-15
0	0	-1785	-2.29292e-15	5.89326e-07	-1.75818e-15
6	0	-1785	-1.18405e-15	5.88778e-07	-2.65151e-15
-6	4	-1785	7.29914e-10	5.88032e-07	3.24653e-08
0	4	-1785	6.15519e-15	5.88579e-07	3.25029e-08
6	4	-1785	-7.29917e-10	5.88032e-07	3.24653e-08
-6	-4	-1782	-7.68597e-10	6.1292e-07	-3.39868e-08
0	-4	-1782	-1.3344e-15	6.13496e-07	-3.40266e-08
6	-4	-1782	7.68593e-10	6.1292e-07	-3.39868e-08
-6	0	-1782	-7.51802e-17	6.13706e-07	1.77775e-15
0	0	-1782	5.7605e-15	6.14283e-07	-1.97781e-15
6	0	-1782	1.18405e-15	6.13706e-07	-4.01128e-15
-6	4	-1782	7.68594e-10	6.1292e-07	3.39868e-08
0	4	-1782	-1.87943e-16	6.13496e-07	3.40266e-08
6	4	-1782	-7.68592e-10	6.1292e-07	3.39868e-08
-6	-4	-1779	-8.09585e-10	6.38978e-07	-3.55894e-08
0	-4	-1779	1.42838e-15	6.39585e-07	-3.56317e-08
6	-4	-1779	8.0958e-10	6.38978e-07	-3.55894e-08
-6	0	-1779	-4.30394e-15	6.39806e-07	-1.37149e-15
0	0	-1779	-4.84898e-15	6.40413e-07	9.0918e-17
6	0	-1779	-4.05021e-15	6.39806e-07	-1.91116e-15
-6	4	-1779	8.09592e-10	6.38978e-07	3.55894e-08
0	4	-1779	-4.62344e-15	6.39585e-07	3.56317e-08
6	4	-1779	-8.09584e-10	6.38978e-07	3.55894e-08
-6	-4	-1776	-8.53067e-10	6.66268e-07	-3.72781e-08
0	-4	-1776	2.94133e-15	6.66908e-07	-3.73229e-08
6	-4	-1776	8.53055e-10	6.66268e-07	-3.72781e-08
-6	0	-1776	3.7119e-15	6.6714e-07	-9.11382e-16
0	0	-1776	4.46369e-15	6.67781e-07	-1.10698e-15
6	0	-1776	-3.17626e-15	6.6714e-07	2.00108e-15
-6	4	-1776	8.53059e-10	6.66268e-07	3.72781e-08
0	4	-1776	4.74561e-15	6.66908e-07	3.73229e-08
6	4	-1776	-8.53058e-10	6.66268e-07	3.72781e-08
-6	-4	-1773	-8.99177e-10	6.94857e-07	-3.90581e-08
0	-4	-1773	5.39402e-15	6.95531e-07	-3.91057e-08
6	-4	-1773	8.99178e-10	6.94857e-07	-3.90581e-08
-6	0	-1773	-4.52008e-15	6.95776e-07	3.2984e-15
0	0	-1773	-3.85285e-16	6.96451e-07	1.24623e-15
6	0	-1773	1.0149e-15	6.95776e-07	1.18356e-15
-6	4	-1773	8.99176e-10	6.94857e-07	3.90581e-08
0	4	-1773	-4.755e-15	6.95531e-07	3.91057e-08
6	4	-1773	-8.9918e-10	6.94857e-07	3.90581e-08
-6	-4	-1770	-9.48125e-10	7.24814e-07	-4.0935e-08
0	-4	-1770	-2.89434e-15	7.25525e-07	-4.09855e-08
6	-4	-1770	9.48123e-10	7.24814e-07	-4.0935e-08
-6	0	-1770	-2.83796e-15	7.25784e-07	1.79848e-15
0	0	-1770	-7.89368e-16	7.26496e-07	-2.40819e-15
6	0	-1770	-7.70573e-16	7.25784e-07	-5.12158e-15
-6	4	-1770	9.48123e-10	7.24814e-07	4.0935e-08
0	4	-1770	5.82635e-16	7.25525e-07	4.09855e-08
6	4	-1770	-9.48125e-10	7.24814e-07	4.0935e-08
-6	-4	-1767	-1.00009e-09	7.56216e-07	-4.29148e-08
0	-4	-1767	-3.98443e-15	7.56966e-07	-4.29684e-08
6	-4	-1767	1.00009e-09	7.56216e-07	-4.29148e-08
-6	0	-1767	2.3963e-15	7.57239e-07	-6.51461e-16
0	0	-1767	-1.82306e-15	7.5799e-07	-1.63644e-16
6	0	-1767	-7.25466e-15	7.57239e-07	-6.71368e-16
-6	4	-1767	1.00008e-09	7.56216e-07	4.29148e-08
0	4	-1767	-2.85676e-15	7.56966e-07	4.29684e-08
6	4	-1767	-1.00008e-09	7.56216e-07	4.29148e-08
-6	-4	-1764	-1.05528e-09	7.8914e-07	-4.50038e-08
0	-4	-1764	-1.57874e-15	7.89932e-07	-4.50608e-08
6	-4	-1764	1.05528e-09	7.8914e-07	-4.50038e-08
-6	0	-1764	-2.84736e-15	7.90221e-07	3.13603e-15
0	0	-1764	2.56544e-15	7.91013e-07	-1.77123e-15
6	0	-1764	2.72522e-16	7.90221e-07	-9.13462e-16
-6	4	-1764	1.05528e-09	7.8914e-07	4.50038e-08
0	4	-1764	-1.76668e-15	7.89932e-07	4.50608e-08
6	4	-1764	-1.05527e-09	7.8914e-07	4.50038e-08
-6	-4	-1761	-1.11393e-09	8.23673e-07	-4.7209e-08
0	-4	-1761	6.36194e-15	8.24508e-07	-4.72695e-08
6	-4	-1761	1.11393e-09	8.23673e-07	-4.7209e-08
-6	0	-1761	-1.14646e-15	8.24813e-07	2.48642e-15
0	0	-1761	-1.88885e-15	8.25649e-07	2.47487e-15
6	0	-1761	7.82791e-15	8.24813e-07	-2.73786e-15
-6	4	-1761	1.11392e-09	8.23673e-07	4.7209e-08
0	4	-1761	3.21385e-15	8.24508e-07	4.72695e-08
6	4	-1761	-1.11393e-09	8.23673e-07	4.7209e-08
-6	-4	-1758	-1.17628e-09	8.59902e-07	-4.95376e-08
0	-4	-1758	1.93583e-15	8.60784e-07	-4.96019e-08
6	-4	-1758	1.17627e-09	8.59902e-07	-4.95376e-08
-6	0	-1758	1.25923e-15	8.61106e-07	-8.39578e-16
0	0	-1758	-8.17554e-16	8.61989e-07	5.86389e-16
6	0	-1758	-3.94679e-16	8.61106e-07	1.58565e-15
-6	4	-1758	1.17627e-09	8.59902e-07	4.95376e-08
0	4	-1758	5.73233e-16	8.60784e-07	4.96019e-08
6	4	-1758	-1.17628e-09	8.59902e-07	4.95376e-08
-6	-4	-1755	-1.24258e-09	8.97923e-07	-5.19975e-08
0	-4	-1755	-2.48087e-15	8.98855e-07	-5.20659e-08
6	-4	-1755	1.24258e-09	8.97923e-07	-5.19975e-08
-6	0	-1755	1.37199e-15	8.99196e-07	1.03818e-15
0	0	-1755	2.64063e-15	9.00129e-07	3.36293e-16
6	0	-1755	-5.64774e-15	8.99196e-07	-4.14614e-15
-6	4	-1755	1.24257e-09	8.97923e-07	5.19975e-08
0	4	-1755	-1.34381e-15	8.98855e-07	5.20659e-08
6	4	-1755	-1.24257e-09	8.97923e-07	5.19975e-08
-6	-4	-1752	-1.31313e-09	9.37839e-07	-5.4597e-08
0	-4	-1752	-1.64451e-15	9.38823e-07	-5.46699e-08
6	-4	-1752	1.31312e-09	9.37839e-07	-5.4597e-08
-6	0	-1752	4.0878e-15	9.39184e-07	-1.34955e-15
0	0	-1752	-7.58357e-15	9.4017e-07	-2.21241e-15
6	0	-1752	-3.94686e-16	9.39184e-07	-8.26898e-16
-6	4	-1752	1.31312e-09	9.37839e-07	5.4597e-08
0	4	-1752	-6.54048e-15	9.38823e-07	5.46698e-08
6	4	-1752	-1.31313e-09	9.37839e-07	5.4597e-08
-6	-4	-1749	-1.38822e-09	9.79756e-07	-5.73453e-08
0	-4	-1749	-3.28904e-16	9.80797e-07	-5.74228e-08
6	-4	-1749	1.38821e-09	9.79756e-07	-5.73453e-08
-6	0	-1749	-6.03303e-15	9.81179e-07	-1.52422e-15
0	0	-1749	2.30232e-15	9.82221e-07	-6.18644e-15
6	0	-1749	-4.81138e-15	9.81179e-07	1.28165e-15
-6	4	-1749	1.38822e-09	9.79756e-07	5.73453e-08
0	4	-1749	-2.80977e-15	9.80797e-07	5.74228e-08
6	4	-1749	-1.38822e-09	9.79756e-07	5.73453e-08
-6	-4	-1746	-1.4682e-09	1.02379e-06	-6.02519e-08
0	-4	-1746	2.40568e-15	1.02489e-06	-6.03345e-08
6	-4	-1746	1.46819e-09	1.02379e-06	-6.02519e-08
-6	0	-1746	2.6876e-15	1.0253e-06	-5.00515e-15
0	0	-1746	8.2696e-16	1.0264e-06	-2.10071e-15
6	0	-1746	2.3775e-15	1.0253e-06	-2.33124e-16
-6	4	-1746	1.46819e-09	1.02379e-06	6.02519e-08
0	4	-1746	4.22878e-16	1.02489e-06	6.03345e-08
6	4	-1746	-1.46819e-09	1.02379e-06	6.02519e-08
-6	-4	-1743	-1.5534e-09	1.07006e-06	-6.33273e-08
0	-4	-1743	-6.60626e-15	1.07123e-06	-6.34153e-08
6	-4	-1743	1.55339e-09	1.07006e-06	-6.33273e-08
-6	0	-1743	-2.93195e-15	1.07166e-06	-4.49123e-15
0	0	-1743	-7.0479e-16	1.07282e-06	1.87365e-15
6	0	-1743	-2.22715e-15	1.07166e-06	-8.20835e-16
-6	4	-1743	1.5534e-09	1.07006e-06	6.33273e-08
0	4	-1743	-2.51846e-15	1.07123e-06	6.34153e-08
6	4	-1743	-1.55339e-09	1.07006e-06	6.33273e-08
-6	-4	-1740	-1.64421e-09	1.1187e-06	-6.65826e-08
0	-4	-1740	-1.50355e-16	1.11994e-06	-6.66764e-08
6	-4	-1740	1.64422e-09	1.1187e-06	-6.65826e-08
-6	0	-1740	2.57485e-15	1.12039e-06	-2.30306e-15
0	0	-1740	-2.22714e-15	1.12163e-06	-1.11382e-15
6	0	-1740	3.44879e-15	1.12039e-06	-6.03763e-15
-6	4	-1740	1.64422e-09	1.1187e-06	6.65826e-08
0	4	-1740	-1.11827e-15	1.11994e-06	6.66764e-08
6	4	-1740	-1.64422e-09	1.1187e-06	6.65826e-08
-6	-4	-1737	-1.74106e-09	1.16986e-06	-7.00296e-08
0	-4	-1737	-1.39079e-15	1.17116e-06	-7.01297e-08
6	-4	-1737	1.74106e-09	1.16986e-06	-7.00296e-08
-6	0	-1737	-5.75111e-15	1.17164e-06	-2.36931e-15
