X[mm]	Y[mm]	Z[mm]	Bx[T]	By[T]	Bz[T]
----------------------------------------------------------------------------------------------------------------------------------------------------------------
-6	-4	-1800	-6.66426e-10	5.87203e-07	-3.08017e-08
0	-4	-1800	4.22875e-16	5.87703e-07	-3.08347e-08
6	-4	-1800	6.66422e-10	5.87203e-07	-3.08017e-08
-6	0	-1800	3.88106e-15	5.87881e-07	-3.62168e-15
0	0	-1800	-5.76991e-15	5.88381e-07	-9.33643e-16
6	0	-1800	8.61727e-15	5.87881e-07	-5.32742e-15
-6	4	-1800	6.66419e-10	5.87203e-07	3.08017e-08
0	4	-1800	-1.87944e-16	5.87703e-07	3.08347e-08
6	4	-1800	-6.66417e-10	5.87203e-07	3.08017e-08
-6	-4	-1797	-7.00351e-10	6.10796e-07	-3.21836e-08
0	-4	-1797	5.41281e-15	6.11321e-07	-3.22186e-08
6	-4	-1797	7.00355e-10	6.10796e-07	-3.21836e-08
-6	0	-1797	-4.64224e-15	6.11507e-07	-6.40542e-15
0	0	-1797	6.29612e-16	6.12033e-07	-3.6122e-15
6	0	-1797	9.67913e-16	6.11507e-07	-5.53379e-15
-6	4	-1797	7.00343e-10	6.10796e-07	3.21836e-08
0	4	-1797	6.39013e-16	6.11321e-07	3.22185e-08
6	4	-1797	-7.00358e-10	6.10796e-07	3.21836e-08
-6	-4	-1794	-7.36231e-10	6.35449e-07	-3.36364e-08
0	-4	-1794	-1.34381e-15	6.36001e-07	-3.36733e-08
6	-4	-1794	7.36239e-10	6.35449e-07	-3.36363e-08
-6	0	-1794	2.83796e-15	6.36197e-07	-6.24118e-15
0	0	-1794	-2.63123e-15	6.3675e-07	-3.73709e-15
6	0	-1794	-1.32501e-15	6.36197e-07	-5.44561e-15
-6	4	-1794	7.36232e-10	6.35449e-07	3.36363e-08
0	4	-1794	5.55377e-15	6.36001e-07	3.36733e-08
6	4	-1794	-7.36231e-10	6.35449e-07	3.36363e-08
-6	-4	-1791	-7.74206e-10	6.61219e-07	-3.51639e-08
0	-4	-1791	-1.94523e-15	6.61799e-07	-3.5203e-08
6	-4	-1791	7.74201e-10	6.61219e-07	-3.51639e-08
-6	0	-1791	-1.3626e-15	6.62006e-07	-4.40218e-15
0	0	-1791	-4.58585e-15	6.62587e-07	-7.82101e-15
6	0	-1791	3.43938e-15	6.62006e-07	-6.53806e-15
-6	4	-1791	7.74209e-10	6.61219e-07	3.51639e-08
0	4	-1791	-4.60465e-15	6.61799e-07	3.5203e-08
6	4	-1791	-7.7421e-10	6.61219e-07	3.51639e-08
-6	-4	-1788	-8.14405e-10	6.88162e-07	-3.67707e-08
0	-4	-1788	-6.33373e-15	6.88772e-07	-3.6812e-08
6	-4	-1788	8.14407e-10	6.88162e-07	-3.67707e-08
-6	0	-1788	-1.39079e-15	6.8899e-07	-3.28967e-15
0	0	-1788	-2.3869e-15	6.89601e-07	-3.90138e-15
6	0	-1788	3.70251e-15	6.8899e-07	-5.24034e-15
-6	4	-1788	8.14408e-10	6.88162e-07	3.67707e-08
0	4	-1788	6.61566e-15	6.88772e-07	3.6812e-08
6	4	-1788	-8.14405e-10	6.88162e-07	3.67707e-08
-6	-4	-1785	-8.56966e-10	7.16339e-07	-3.84613e-08
0	-4	-1785	-1.0243e-15	7.16982e-07	-3.85051e-08
6	-4	-1785	8.56963e-10	7.16339e-07	-3.84613e-08
-6	0	-1785	-4.20997e-15	7.17211e-07	-4.90724e-15
0	0	-1785	-1.55994e-15	7.17854e-07	-2.42234e-15
6	0	-1785	-3.27024e-15	7.17211e-07	-2.59722e-15
-6	4	-1785	8.56956e-10	7.16339e-07	3.84613e-08
0	4	-1785	1.39079e-15	7.16982e-07	3.85051e-08
6	4	-1785	-8.56969e-10	7.16339e-07	3.84613e-08
-6	-4	-1782	-9.0205e-10	7.45816e-07	-4.02408e-08
0	-4	-1782	-9.20929e-16	7.46492e-07	-4.02872e-08
6	-4	-1782	9.02048e-10	7.45816e-07	-4.02408e-08
-6	0	-1782	-7.18889e-15	7.46734e-07	-6.72153e-15
0	0	-1782	2.98831e-15	7.47411e-07	-2.98787e-15
6	0	-1782	2.3963e-15	7.46734e-07	-7.27302e-16
-6	4	-1782	9.02048e-10	7.45816e-07	4.02408e-08
0	4	-1782	4.46369e-15	7.46492e-07	4.02872e-08
6	4	-1782	-9.02047e-10	7.45816e-07	4.02408e-08
-6	-4	-1779	-9.49827e-10	7.76661e-07	-4.21145e-08
0	-4	-1779	1.47536e-15	7.77373e-07	-4.21637e-08
6	-4	-1779	9.49827e-10	7.76661e-07	-4.21145e-08
-6	0	-1779	5.27185e-15	7.77627e-07	-7.17223e-15
0	0	-1779	-5.23426e-15	7.7834e-07	-2.12509e-15
6	0	-1779	1.80427e-15	7.77627e-07	-5.8318e-15
-6	4	-1779	9.49827e-10	7.76661e-07	4.21145e-08
0	4	-1779	3.55215e-15	7.77373e-07	4.21637e-08
