X[mm]	Y[mm]	Z[mm]	Bx[T]	By[T]	Bz[T]
----------------------------------------------------------------------------------------------------------------------------------------------------------------
-6	-4	-1800	-4.3965e-10	3.42394e-07	-1.97087e-08
0	-4	-1800	1.54115e-15	3.42724e-07	-1.97309e-08
6	-4	-1800	4.39646e-10	3.42394e-07	-1.97087e-08
-6	0	-1800	-4.46369e-15	3.42845e-07	-6.54016e-15
0	0	-1800	-8.08166e-16	3.43175e-07	-2.51523e-15
6	0	-1800	1.75729e-15	3.42845e-07	-5.63968e-15
-6	4	-1800	4.39648e-10	3.42394e-07	1.97087e-08
0	4	-1800	-3.94682e-16	3.42724e-07	1.97309e-08
6	4	-1800	-4.39651e-10	3.42394e-07	1.97087e-08
-6	-4	-1797	-4.62497e-10	3.57502e-07	-2.06276e-08
0	-4	-1797	-2.86615e-15	3.57848e-07	-2.06511e-08
6	-4	-1797	4.62479e-10	3.57502e-07	-2.06276e-08
-6	0	-1797	2.35871e-15	3.57976e-07	-3.64704e-15
0	0	-1797	-3.85287e-15	3.58323e-07	-3.02605e-15
6	0	-1797	-2.57484e-15	3.57976e-07	-6.34411e-16
-6	4	-1797	4.62486e-10	3.57502e-07	2.06276e-08
0	4	-1797	-3.65553e-15	3.57848e-07	2.06511e-08
6	4	-1797	-4.62482e-10	3.57502e-07	2.06276e-08
-6	-4	-1794	-4.86664e-10	3.73315e-07	-2.15945e-08
0	-4	-1794	1.81367e-15	3.7368e-07	-2.16194e-08
6	-4	-1794	4.86659e-10	3.73315e-07	-2.15945e-08
-6	0	-1794	6.10826e-16	3.73815e-07	-6.71537e-15
0	0	-1794	1.71969e-15	3.7418e-07	-3.72668e-15
6	0	-1794	-1.72909e-15	3.73815e-07	-4.37291e-15
-6	4	-1794	4.86671e-10	3.73315e-07	2.15945e-08
0	4	-1794	-7.15129e-15	3.7368e-07	2.16194e-08
6	4	-1794	-4.86664e-10	3.73315e-07	2.15945e-08
-6	-4	-1791	-5.12277e-10	3.89872e-07	-2.26124e-08
0	-4	-1791	-3.97503e-15	3.90256e-07	-2.26388e-08
6	-4	-1791	5.12265e-10	3.89872e-07	-2.26124e-08
-6	0	-1791	5.45041e-16	3.90398e-07	-5.7365e-15
0	0	-1791	9.88589e-15	3.90782e-07	-4.50442e-15
6	0	-1791	-1.46596e-15	3.90398e-07	-2.55613e-15
-6	4	-1791	5.12264e-10	3.89872e-07	2.26124e-08
