X[mm]	Y[mm]	Z[mm]	Bx[T]	By[T]	Bz[T]
----------------------------------------------------------------------------------------------------------------------------------------------------------------
-6	-4	-1800	-6.08398e-10	5.24359e-07	-2.79674e-08
0	-4	-1800	2.21775e-15	5.24815e-07	-2.79977e-08
6	-4	-1800	6.08397e-10	5.24359e-07	-2.79674e-08
-6	0	-1800	7.0479e-16	5.24979e-07	1.73788e-15
0	0	-1800	-2.82857e-15	5.25435e-07	-2.54094e-15
6	0	-1800	1.85126e-15	5.24979e-07	-5.36406e-16
-6	4	-1800	6.08394e-10	5.24359e-07	2.79674e-08
0	4	-1800	5.16846e-16	5.24815e-07	2.79977e-08
6	4	-1800	-6.08401e-10	5.24359e-07	2.79674e-08
-6	-4	-1797	-6.39499e-10	5.45783e-07	-2.92318e-08
0	-4	-1797	7.21707e-15	5.46263e-07	-2.92638e-08
6	-4	-1797	6.39501e-10	5.45783e-07	-2.92318e-08
-6	0	-1797	2.05799e-15	5.46435e-07	2.11038e-15
0	0	-1797	-1.59752e-16	5.46915e-07	-8.57804e-16
6	0	-1797	6.57766e-17	5.46435e-07	-4.99319e-15
-6	4	-1797	6.395e-10	5.45783e-07	2.92318e-08
0	4	-1797	-1.52235e-15	5.46263e-07	2.92638e-08
6	4	-1797	-6.39493e-10	5.45783e-07	2.92318e-08
-6	-4	-1794	-6.72408e-10	5.68179e-07	-3.05611e-08
0	-4	-1794	3.85287e-15	5.68683e-07	-3.0595e-08
6	-4	-1794	6.72408e-10	5.68179e-07	-3.05611e-08
-6	0	-1794	1.3814e-15	5.68864e-07	-3.69697e-15
0	0	-1794	-3.76829e-15	5.69369e-07	8.39416e-16
6	0	-1794	2.79098e-15	5.68864e-07	-4.30887e-16
-6	4	-1794	6.72408e-10	5.68179e-07	3.05611e-08
0	4	-1794	1.07129e-15	5.68683e-07	3.0595e-08
6	4	-1794	-6.72399e-10	5.68179e-07	3.05611e-08
-6	-4	-1791	-7.07228e-10	5.91596e-07	-3.19593e-08
0	-4	-1791	-2.80038e-15	5.92126e-07	-3.19951e-08
6	-4	-1791	7.0723e-10	5.91596e-07	-3.19593e-08
-6	0	-1791	-3.83407e-15	5.92317e-07	2.48651e-15
0	0	-1791	1.78548e-15	5.92848e-07	-3.18384e-16
6	0	-1791	1.76668e-15	5.92317e-07	1.72116e-15
-6	4	-1791	7.07227e-10	5.91596e-07	3.19593e-08
0	4	-1791	3.83408e-15	5.92126e-07	3.19951e-08
6	4	-1791	-7.0723e-10	5.91596e-07	3.19593e-08
-6	-4	-1788	-7.44089e-10	6.16087e-07	-3.34303e-08
0	-4	-1788	-1.85126e-15	6.16645e-07	-3.34682e-08
6	-4	-1788	7.44092e-10	6.16087e-07	-3.34303e-08
-6	0	-1788	-4.98049e-16	6.16846e-07	-7.85552e-17
0	0	-1788	5.1309e-15	6.17404e-07	-3.03346e-15
6	0	-1788	7.9877e-16	6.16846e-07	4.69736e-16
-6	4	-1788	7.4409e-10	6.16087e-07	3.34303e-08
0	4	-1788	-5.54432e-16	6.16645e-07	3.34682e-08
6	4	-1788	-7.44098e-10	6.16087e-07	3.34303e-08
-6	-4	-1785	-7.83139e-10	6.41709e-07	-3.49784e-08
0	-4	-1785	-5.01812e-15	6.42296e-07	-3.50186e-08
6	-4	-1785	7.83134e-10	6.41709e-07	-3.49784e-08
-6	0	-1785	-5.63834e-15	6.42507e-07	-1.11293e-15
0	0	-1785	-1.42838e-15	6.43095e-07	-2.33805e-15
6	0	-1785	4.50128e-15	6.42507e-07	-8.48743e-15
-6	4	-1785	7.83139e-10	6.41709e-07	3.49784e-08
0	4	-1785	-2.73459e-15	6.42296e-07	3.50186e-08
6	4	-1785	-7.83134e-10	6.41709e-07	3.49784e-08
-6	-4	-1782	-8.24499e-10	6.6852e-07	-3.66083e-08
0	-4	-1782	-1.95462e-15	6.69139e-07	-3.66509e-08
6	-4	-1782	8.24494e-10	6.6852e-07	-3.66083e-08
