Blocks width = 20
ID length[m]	Blocks height[mm]	Field Roll-off[%]
0.40	10.0	24.881
0.54	10.0	24.887
0.67	10.0	24.895
0.81	10.0	24.905
0.95	10.0	24.917
1.08	10.3	24.992
1.22	10.3	25.008
1.36	10.5	25.086
1.49	10.8	25.164
1.63	11.0	25.243
1.77	11.5	25.371
1.91	11.8	25.441
2.04	12.0	25.512
2.18	12.5	25.628
2.32	13.0	25.731
2.45	13.5	25.829
2.59	14.0	25.925
2.73	14.5	26.011
2.86	15.1	26.098
3.00	15.8	26.197
Blocks width = 25
ID length[m]	Blocks height[mm]	Field Roll-off[%]
0.40	10.0	18.366
0.54	10.0	18.370
0.67	10.0	18.375
0.81	10.0	18.383
0.95	10.0	18.392
1.08	10.0	18.403
1.22	10.0	18.416
1.36	10.0	18.432
1.49	10.0	18.450
1.63	10.0	18.472
1.77	10.0	18.497
1.91	10.0	18.525
2.04	10.0	18.556
2.18	10.0	18.591
2.32	10.0	18.630
2.45	10.0	18.672
2.59	10.3	18.828
2.73	10.8	19.094
2.86	11.0	19.250
3.00	11.3	19.406
Blocks width = 30
ID length[m]	Blocks height[mm]	Field Roll-off[%]
0.40	10.0	14.754
0.54	10.0	14.737
0.67	10.0	14.718
0.81	10.0	14.695
0.95	10.0	14.671
1.08	10.0	14.645
1.22	10.0	14.619
1.36	10.0	14.591
1.49	10.0	14.564
1.63	10.0	14.537
1.77	10.0	14.510
1.91	10.0	14.485
2.04	10.0	14.462
2.18	10.0	14.440
2.32	10.0	14.420
2.45	10.0	14.403
2.59	10.0	14.389
2.73	10.0	14.377
2.86	10.0	14.369
3.00	10.0	14.364
Blocks width = 35
ID length[m]	Blocks height[mm]	Field Roll-off[%]
0.40	10.0	13.139
0.54	10.0	13.109
0.67	10.0	13.073
0.81	10.0	13.033
0.95	10.0	12.987
1.08	10.0	12.938
1.22	10.0	12.886
1.36	10.0	12.830
1.49	10.0	12.773
1.63	10.0	12.713
1.77	10.0	12.652
1.91	10.0	12.591
2.04	10.0	12.529
2.18	10.0	12.468
2.32	10.0	12.407
2.45	10.0	12.347
2.59	10.0	12.289
2.73	10.0	12.232
2.86	10.0	12.177
3.00	10.0	12.125
