Blocks width = 20
ID length[m]	Blocks height[mm]	Field Roll-off[%]
0.40	10.0	57.686
0.54	10.0	57.567
0.67	10.0	57.427
0.81	10.0	57.265
0.95	10.0	57.083
1.08	10.0	56.883
1.22	10.0	56.666
1.36	10.0	56.435
1.49	10.0	56.191
1.63	10.0	55.935
1.77	10.0	55.670
1.91	10.0	55.398
2.04	10.0	55.119
2.18	10.0	54.835
2.32	10.0	54.547
2.45	10.3	54.378
2.59	10.5	54.205
2.73	11.0	54.146
2.86	11.3	53.968
3.00	11.8	53.876
Blocks width = 25
ID length[m]	Blocks height[mm]	Field Roll-off[%]
0.40	10.0	32.418
0.54	10.0	32.327
0.67	10.0	32.221
0.81	10.0	32.099
0.95	10.0	31.965
1.08	10.0	31.819
1.22	10.0	31.663
1.36	10.0	31.500
1.49	10.0	31.331
1.63	10.0	31.157
1.77	10.0	30.981
1.91	10.0	30.804
2.04	10.0	30.627
2.18	10.0	30.451
2.32	10.0	30.278
2.45	10.0	30.109
2.59	10.0	29.944
2.73	10.0	29.784
2.86	10.3	29.797
3.00	10.8	29.977
Blocks width = 30
ID length[m]	Blocks height[mm]	Field Roll-off[%]
0.40	10.0	10.116
0.54	10.0	10.135
0.67	10.0	10.158
0.81	10.0	10.184
0.95	10.0	10.214
1.08	10.0	10.247
1.22	10.0	10.283
1.36	10.0	10.322
1.49	10.0	10.363
1.63	10.0	10.408
1.77	10.0	10.455
1.91	10.0	10.505
2.04	10.0	10.557
2.18	10.0	10.611
2.32	10.0	10.667
2.45	10.0	10.725
2.59	10.0	10.786
2.73	10.0	10.848
2.86	10.0	10.913
3.00	10.3	11.093
Blocks width = 35
ID length[m]	Blocks height[mm]	Field Roll-off[%]
0.40	10.0	1.080
0.54	10.0	1.111
0.67	10.0	1.149
0.81	10.0	1.192
0.95	10.0	1.241
1.08	10.0	1.296
1.22	10.0	1.355
1.36	10.0	1.419
1.49	10.0	1.487
1.63	10.0	1.559
1.77	10.0	1.635
1.91	10.0	1.714
2.04	10.0	1.796
2.18	10.0	1.881
2.32	10.0	1.968
2.45	10.0	2.058
2.59	10.0	2.149
2.73	10.0	2.242
2.86	10.0	2.336
3.00	10.0	2.432
