Gap = 4
X_pos[mm]	Beff[T]	Bpeak[T]	Z_pos[mm]	By[T]
-15.0	1.2838	1.2838	-18.5	0.5280
-14.8	1.2837	1.2837	-18.3	0.4419
-14.6	1.2835	1.2835	-18.0	0.3579
-14.4	1.2833	1.2833	-17.8	0.2759
-14.2	1.2832	1.2832	-17.6	0.1957
-14.1	1.2830	1.2830	-17.3	0.1167
-13.9	1.2829	1.2829	-17.1	0.0386
-13.7	1.2828	1.2828	-16.9	-0.0393
-13.5	1.2828	1.2828	-16.6	-0.1175
-13.3	1.2828	1.2828	-16.4	-0.1965
-13.1	1.2829	1.2829	-16.2	-0.2768
-12.9	1.2831	1.2831	-15.9	-0.3588
-12.7	1.2833	1.2833	-15.7	-0.4428
-12.5	1.2835	1.2835	-15.5	-0.5290
-12.4	1.2837	1.2837	-15.2	-0.6172
-12.2	1.2838	1.2838	-15.0	-0.7068
-12.0	1.2840	1.2840	-14.8	-0.7968
-11.8	1.2842	1.2842	-14.5	-0.8855
-11.6	1.2843	1.2843	-14.3	-0.9707
-11.4	1.2843	1.2843	-14.1	-1.0497
-11.2	1.2844	1.2844	-13.8	-1.1200
-11.0	1.2844	1.2844	-13.6	-1.1790
-10.8	1.2843	1.2843	-13.4	-1.2251
-10.7	1.2842	1.2842	-13.1	-1.2573
-10.5	1.2841	1.2841	-12.9	-1.2750
-10.3	1.2840	1.2840	-12.7	-1.2781
-10.1	1.2839	1.2839	-12.4	-1.2665
-9.9	1.2837	1.2837	-12.2	-1.2405
-9.7	1.2835	1.2835	-12.0	-1.2002
-9.5	1.2834	1.2834	-11.8	-1.1464
-9.3	1.2833	1.2833	-11.5	-1.0807
-9.2	1.2832	1.2832	-11.3	-1.0051
-9.0	1.2832	1.2832	-11.1	-0.9223
-8.8	1.2833	1.2833	-10.8	-0.8349
-8.6	1.2833	1.2833	-10.6	-0.7453
-8.4	1.2835	1.2835	-10.4	-0.6555
-8.2	1.2836	1.2836	-10.1	-0.5668
-8.0	1.2838	1.2838	-9.9	-0.4799
-7.8	1.2840	1.2840	-9.7	-0.3951
-7.6	1.2841	1.2841	-9.4	-0.3125
-7.5	1.2842	1.2842	-9.2	-0.2317
-7.3	1.2844	1.2844	-9.0	-0.1525
-7.1	1.2844	1.2844	-8.7	-0.0742
-6.9	1.2845	1.2845	-8.5	0.0036
-6.7	1.2845	1.2845	-8.3	0.0813
-6.5	1.2845	1.2845	-8.0	0.1596
-6.3	1.2844	1.2844	-7.8	0.2390
-6.1	1.2844	1.2844	-7.6	0.3199
-5.9	1.2843	1.2843	-7.3	0.4028
-5.8	1.2841	1.2841	-7.1	0.4877
-5.6	1.2840	1.2840	-6.9	0.5748
-5.4	1.2838	1.2838	-6.6	0.6637
-5.2	1.2837	1.2837	-6.4	0.7537
-5.0	1.2836	1.2836	-6.2	0.8433
-4.8	1.2835	1.2835	-5.9	0.9307
-4.6	1.2834	1.2834	-5.7	1.0134
-4.4	1.2834	1.2834	-5.5	1.0887
-4.2	1.2835	1.2835	-5.2	1.1540
-4.1	1.2835	1.2835	-5.0	1.2072
-3.9	1.2837	1.2837	-4.8	1.2469
-3.7	1.2838	1.2838	-4.5	1.2723
-3.5	1.2840	1.2840	-4.3	1.2831
-3.3	1.2841	1.2841	-4.1	1.2792
-3.1	1.2842	1.2842	-3.8	1.2607
-2.9	1.2844	1.2844	-3.6	1.2276
-2.7	1.2844	1.2844	-3.4	1.1807
-2.5	1.2845	1.2845	-3.1	1.1208
-2.4	1.2845	1.2845	-2.9	1.0499
-2.2	1.2846	1.2846	-2.7	0.9703
-2.0	1.2845	1.2845	-2.4	0.8847
-1.8	1.2845	1.2845	-2.2	0.7958
-1.6	1.2844	1.2844	-2.0	0.7057
-1.4	1.2843	1.2843	-1.7	0.6161
-1.2	1.2842	1.2842	-1.5	0.5279
-1.0	1.2840	1.2840	-1.3	0.4419
-0.8	1.2839	1.2839	-1.0	0.3579
-0.7	1.2837	1.2837	-0.8	0.2761
-0.5	1.2836	1.2836	-0.6	0.1959
-0.3	1.2835	1.2835	-0.3	0.1170
-0.1	1.2835	1.2835	-0.1	0.0389
0.1	1.2835	1.2835	0.1	-0.0389
0.3	1.2835	1.2835	0.3	-0.1170
0.5	1.2836	1.2836	0.6	-0.1959
0.7	1.2837	1.2837	0.8	-0.2761
0.8	1.2839	1.2839	1.0	-0.3579
